Datum;Beginntum;Endetum;Kategorien
18.2.2016;10:00:00;10:10:00;S-B - intern (901106)
18.2.2016;10:10:00;12:10:00;E - MPM (2900041)
18.2.2016;13:40:00;14:40:00;E - MPM (2900041)
19.2.2016;09:30:00;10:00:00;S-B - intern (901106)
19.2.2016;10:00:00;12:20:00;E - MPM (2900041)
22.2.2016;09:10:00;09:20:00;S-B - intern (901106)
22.2.2016;09:20:00;14:40:00;E - MPM (2900041)
23.2.2016;09:00:00;09:10:00;S-B - intern (901106)
23.2.2016;09:10:00;10:00:00;ISO Zertifizierung smO (2990191)
23.2.2016;11:00:00;12:10:00;ISO Zertifizierung smO (2990191)
23.2.2016;13:30:00;14:45:00;ISO Zertifizierung smO (2990191)
25.2.2016;09:00:00;11:35:00;ISO Zertifizierung smO (2990191)
25.2.2016;11:35:00;12:25:00;E - MPM (2900041)
29.2.2016;07:55:00;08:30:00;S-B - intern (901106)
2.3.2016;10:00:00;11:00:00;ISO Zertifizierung smO (2990191)
29.2.2016;08:30:00;10:00:00;E - intern (901107)
29.2.2016;10:00:00;11:30:00;E - MPM (2900041)
29.2.2016;11:30:00;12:00:00;E - intern (901107)
29.2.2016;12:00:00;12:20:00;S-B - intern (901106)
1.3.2016;08:05:00;08:35:00;S-B - intern (901106)
1.3.2016;08:35:00;08:50:00;ISO Zertifizierung smO (2990191)
1.3.2016;08:50:00;11:20:00;S-B - intern (901106)
1.3.2016;11:20:00;11:50:00;E - MPM (2900041)
1.3.2016;11:50:00;12:10:00;S-B - intern (901106)
2.3.2016;09:00:00;09:10:00;S-B - intern (901106)
2.3.2016;09:10:00;10:00:00;ISO Zertifizierung smO (2990191)
2.3.2016;11:00:00;12:30:00;ISO Zertifizierung smO (2990191)
3.3.2016;08:45:00;09:00:00;S-B - intern (901106)
4.3.2016;14:00:00;16:00:00;ISO Zertifizierung smO (2990191)
3.3.2016;09:00:00;09:30:00;S-B - intern (901106)
3.3.2016;09:30:00;11:30:00;S-B - intern (901106)
3.3.2016;11:30:00;12:30:00;S-B - intern (901106)
3.3.2016;12:30:00;13:30:00;E - MPM (2900041)
4.3.2016;09:15:00;09:35:00;S-B - intern (901106)
4.3.2016;09:35:00;12:25:00;S-B - intern (901106)
7.3.2016;09:00:00;09:15:00;S-B - intern (901106)
7.3.2016;09:15:00;13:30:00;S-B - intern (901106)
9.3.2016;12:50:00;13:05:00;S-B - intern (901106)
9.3.2016;13:05:00;16:30:00;ISO Zertifizierung smO (2990191)
10.3.2016;09:00:00;09:15:00;S-B - intern (901106)
10.3.2016;09:15:00;11:25:00;ISO Zertifizierung smO (2990191)
10.3.2016;11:25:00;11:50:00;ISO Zertifizierung smO (2990191)
10.3.2016;11:50:00;12:00:00;S-B - intern (901106)
10.3.2016;12:00:00;12:45:00;ISO Zertifizierung smO (2990191)
11.3.2016;10:00:00;10:50:00;ISO Zertifizierung smO (2990191)
11.3.2016;10:50:00;11:15:00;S-B - intern (901106)
11.3.2016;11:15:00;11:30:00;ISO Zertifizierung smO (2990191)
11.3.2016;11:30:00;13:20:00;ISO Zertifizierung smO (2990191)
11.3.2016;13:20:00;13:50:00;E - intern (901107)
11.3.2016;13:50:00;14:00:00;S-B - intern (901106)
14.3.2016;08:20:00;08:40:00;S-B - intern (901106)
14.3.2016;08:40:00;09:00:00;S-B - intern (901106)
14.3.2016;09:00:00;10:30:00;ISO Zertifizierung smO (2990191)
14.3.2016;10:30:00;10:50:00;S-B - intern (901106)
14.3.2016;10:50:00;12:40:00;ISO Zertifizierung smO (2990191)
15.3.2016;08:50:00;09:00:00;S-B - intern (901106)
15.3.2016;09:00:00;11:00:00;ISO Zertifizierung smO (2990191)
16.3.2016;08:40:00;09:00:00;S-B - intern (901106)
16.3.2016;09:00:00;12:30:00;ISO Zertifizierung smO (2990191)
16.3.2016;12:30:00;13:30:00;S-B - intern (901106)
16.3.2016;13:30:00;14:50:00;S-B - intern (901106),ISO Zertifizierung smO (2990191)
16.3.2016;15:30:00;16:30:00;S-B - intern (901106)
17.3.2016;08:45:00;08:55:00;S-B - intern (901106)
17.3.2016;08:55:00;09:05:00;ISO Zertifizierung smO (2990191)
17.3.2016;09:05:00;09:55:00;Noch nicht zugeordnet
17.3.2016;09:55:00;11:50:00;ISO Zertifizierung smO (2990191)
18.3.2016;08:15:00;08:45:00;S-B - intern (901106)
18.3.2016;08:45:00;09:15:00;ISO Zertifizierung smO (2990191)
18.3.2016;09:15:00;10:05:00;S-B - intern (901106)
18.3.2016;10:10:00;11:30:00;S-B - intern (901106)
18.3.2016;12:00:00;14:00:00;ISO Zertifizierung smO (2990191)
21.3.2016;08:15:00;08:45:00;S-B - intern (901106)
22.3.2016;09:00:00;09:45:00;ISO Zertifizierung smO (2990191)
21.3.2016;08:45:00;11:45:00;ISO Zertifizierung smO (2990191)
21.3.2016;16:20:00;17:00:00;ISO Zertifizierung smO (2990191)
21.3.2016;15:00:00;16:20:00;S-B - intern (901106)
22.3.2016;13:45:00;14:00:00;S-B - intern (901106)
22.3.2016;08:30:00;08:40:00;S-B - intern (901106)
22.3.2016;08:40:00;09:00:00;S-B - intern (901106)
22.3.2016;12:30:00;13:00:00;E - MPM (2900041)
22.3.2016;09:45:00;11:00:00;S-B - intern (901106)
22.3.2016;11:00:00;11:30:00;ISO Zertifizierung smO (2990191)
22.3.2016;13:00:00;13:45:00;S-B - intern (901106)
22.3.2016;14:00:00;14:40:00;E - MPM (2900041)
29.3.2016;12:30:00;13:30:00;S-B - intern (901106)
23.3.2016;08:35:00;08:45:00;S-B - intern (901106)
23.3.2016;08:45:00;10:30:00;E - MPM (2900041)
24.3.2016;08:35:00;10:35:00;S-B - intern (901106)
24.3.2016;10:35:00;12:35:00;E - MPM (2900041)
29.3.2016;09:50:00;10:30:00;S-B - intern (901106)
30.3.2016;08:40:00;09:00:00;S-B - intern (901106)
30.3.2016;09:00:00;09:20:00;ISO Zertifizierung smO (2990191)
30.3.2016;09:20:00;09:30:00;S-B - intern (901106)
5.4.2016;10:00:00;11:15:00;ISO Zertifizierung smO (2990191)
30.3.2016;09:30:00;10:15:00;E - MPM (2900041)
30.3.2016;10:15:00;11:30:00;ISO Zertifizierung smO (2990191)
31.3.2016;10:00:00;10:45:00;S-B - intern (901106)
31.3.2016;09:30:00;10:00:00;S-B - intern (901106)
1.4.2016;10:00:00;10:30:00;S-B - intern (901106)
1.4.2016;10:30:00;11:30:00;ISO Zertifizierung SWO Netz (2910667)
31.3.2016;10:45:00;12:00:00;E - MPM (2900041)
1.4.2016;09:30:00;10:00:00;S-B - intern (901106)
1.4.2016;12:30:00;13:00:00;S-B - intern (901106)
1.4.2016;13:00:00;14:00:00;E - MPM (2900041)
1.4.2016;14:00:00;14:15:00;E - MPM (2900041)
1.4.2016;14:15:00;16:15:00;E - MPM (2900041)
4.4.2016;07:40:00;11:00:00;E - MPM (2900041)
4.4.2016;11:00:00;11:15:00;E - smartTT
5.4.2016;09:00:00;09:30:00;ISO Zertifizierung SWO Netz (2910667)
4.4.2016;11:15:00;11:30:00;ISO Zertifizierung smO (2990191)
4.4.2016;13:30:00;14:15:00;ISO Zertifizierung SWO Netz (2910667)
4.4.2016;15:00:00;16:30:00;E - intern (901107)
4.4.2016;16:30:00;17:00:00;E - smartTT
6.4.2016;08:30:00;09:30:00;S-B - intern (901106)
7.4.2016;10:00:00;10:30:00;ISO Zertifizierung SWO Netz (2910667)
5.4.2016;09:30:00;10:00:00;ISO Zertifizierung SWO Netz (2910667)
8.4.2016;14:30:00;15:00:00;E - MPM (2900041)
6.4.2016;08:00:00;08:30:00;ISO Zertifizierung smO (2990191)
12.4.2016;13:30:00;16:00:00;S-B - intern (901106)
